      4364:	symbol=_res;  lookup in file=./the_end [0]
      4364:	symbol=_res;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=stderr;  lookup in file=./the_end [0]
      4364:	symbol=stderr;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=error_one_per_line;  lookup in file=./the_end [0]
      4364:	symbol=error_one_per_line;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=__malloc_initialize_hook;  lookup in file=./the_end [0]
      4364:	symbol=__malloc_initialize_hook;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=__morecore;  lookup in file=./the_end [0]
      4364:	symbol=__morecore;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=__key_encryptsession_pk_LOCAL;  lookup in file=./the_end [0]
      4364:	symbol=__key_encryptsession_pk_LOCAL;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=__progname_full;  lookup in file=./the_end [0]
      4364:	symbol=__progname_full;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=__ctype32_tolower;  lookup in file=./the_end [0]
      4364:	symbol=__ctype32_tolower;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=_environ;  lookup in file=./the_end [0]
      4364:	symbol=_environ;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=_rtld_global;  lookup in file=./the_end [0]
      4364:	symbol=_rtld_global;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=_rtld_global;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
      4364:	symbol=__progname;  lookup in file=./the_end [0]
      4364:	symbol=__progname;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=argp_err_exit_status;  lookup in file=./the_end [0]
      4364:	symbol=argp_err_exit_status;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=mallwatch;  lookup in file=./the_end [0]
      4364:	symbol=mallwatch;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=__rcmd_errstr;  lookup in file=./the_end [0]
      4364:	symbol=__rcmd_errstr;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=svcauthdes_stats;  lookup in file=./the_end [0]
      4364:	symbol=svcauthdes_stats;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=__libc_enable_secure;  lookup in file=./the_end [0]
      4364:	symbol=__libc_enable_secure;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=__libc_enable_secure;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
      4364:	symbol=_res_hconf;  lookup in file=./the_end [0]
      4364:	symbol=_res_hconf;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=malloc;  lookup in file=./the_end [0]
      4364:	symbol=malloc;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=getdate_err;  lookup in file=./the_end [0]
      4364:	symbol=getdate_err;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=__tzname;  lookup in file=./the_end [0]
      4364:	symbol=__tzname;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=__timezone;  lookup in file=./the_end [0]
      4364:	symbol=__timezone;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=_rtld_global_ro;  lookup in file=./the_end [0]
      4364:	symbol=_rtld_global_ro;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=_rtld_global_ro;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
      4364:	symbol=optarg;  lookup in file=./the_end [0]
      4364:	symbol=optarg;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=__ctype_tolower;  lookup in file=./the_end [0]
      4364:	symbol=__ctype_tolower;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=__ctype_toupper;  lookup in file=./the_end [0]
      4364:	symbol=__ctype_toupper;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=svc_max_pollfd;  lookup in file=./the_end [0]
      4364:	symbol=svc_max_pollfd;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=__ctype_b;  lookup in file=./the_end [0]
      4364:	symbol=__ctype_b;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=argp_program_version_hook;  lookup in file=./the_end [0]
      4364:	symbol=argp_program_version_hook;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=__after_morecore_hook;  lookup in file=./the_end [0]
      4364:	symbol=__after_morecore_hook;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=__environ;  lookup in file=./the_end [0]
      4364:	symbol=__environ;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=__ctype32_b;  lookup in file=./the_end [0]
      4364:	symbol=__ctype32_b;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=__curbrk;  lookup in file=./the_end [0]
      4364:	symbol=__curbrk;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=argp_program_version;  lookup in file=./the_end [0]
      4364:	symbol=argp_program_version;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=__daylight;  lookup in file=./the_end [0]
      4364:	symbol=__daylight;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=__memalign_hook;  lookup in file=./the_end [0]
      4364:	symbol=__memalign_hook;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=__malloc_hook;  lookup in file=./the_end [0]
      4364:	symbol=__malloc_hook;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=__free_hook;  lookup in file=./the_end [0]
      4364:	symbol=__free_hook;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=svc_pollfd;  lookup in file=./the_end [0]
      4364:	symbol=svc_pollfd;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=_nl_domain_bindings;  lookup in file=./the_end [0]
      4364:	symbol=_nl_domain_bindings;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=_nl_msg_cat_cntr;  lookup in file=./the_end [0]
      4364:	symbol=_nl_msg_cat_cntr;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=argp_program_bug_address;  lookup in file=./the_end [0]
      4364:	symbol=argp_program_bug_address;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=__key_decryptsession_pk_LOCAL;  lookup in file=./the_end [0]
      4364:	symbol=__key_decryptsession_pk_LOCAL;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=h_errlist;  lookup in file=./the_end [0]
      4364:	symbol=h_errlist;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=program_invocation_short_name;  lookup in file=./the_end [0]
      4364:	symbol=program_invocation_short_name;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=optind;  lookup in file=./the_end [0]
      4364:	symbol=optind;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=_dl_starting_up;  lookup in file=./the_end [0]
      4364:	symbol=_dl_starting_up;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=_dl_starting_up;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
      4364:	symbol=stdout;  lookup in file=./the_end [0]
      4364:	symbol=obstack_alloc_failed_handler;  lookup in file=./the_end [0]
      4364:	symbol=obstack_alloc_failed_handler;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=error_print_progname;  lookup in file=./the_end [0]
      4364:	symbol=error_print_progname;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=optopt;  lookup in file=./the_end [0]
      4364:	symbol=optopt;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=_IO_funlockfile;  lookup in file=./the_end [0]
      4364:	symbol=_IO_funlockfile;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=obstack_exit_failure;  lookup in file=./the_end [0]
      4364:	symbol=obstack_exit_failure;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=error_message_count;  lookup in file=./the_end [0]
      4364:	symbol=error_message_count;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=svc_fdset;  lookup in file=./the_end [0]
      4364:	symbol=svc_fdset;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=program_invocation_name;  lookup in file=./the_end [0]
      4364:	symbol=program_invocation_name;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=free;  lookup in file=./the_end [0]
      4364:	symbol=free;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=__fpu_control;  lookup in file=./the_end [0]
      4364:	symbol=__fpu_control;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=re_syntax_options;  lookup in file=./the_end [0]
